1698522763.829246,right
1698522765.047067,right
1698522766.1710775,right
1698522767.6159382,right
1698522769.7516937,up
1698522771.4033146,up
1698522772.9093134,up
1698522774.2876203,up
1698522775.6697795,up
1698522777.0155053,up
1698522779.246747,right
1698522780.7024012,right
1698522782.6229389,down
1698522784.103359,down
1698522785.536093,middle
1698522785.8341992,down
1698522787.0473733,down
1698522788.3683455,down
1698522791.1177578,left
1698522793.7706556,up
1698522795.2633781,up
1698522796.2419858,up
1698522797.5191863,up
1698522799.2384038,left
